Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/29/02,24-067,LAL,,SAS,L (-5),1,42:45:00,9,29,0.31,1,2,0.5,8,12,0.667,5,5,10,5,4,2,6,3,27,15.4,-4
2,2,10/30/02,24-068,LAL,@,POR,L (-12),1,37:27:00,9,18,0.5,3,7,0.429,4,4,1,1,9,10,2,2,2,3,3,25,20,-11
3,3,11/1/02,24-070,LAL,@,LAC,W (+15),1,40:41:00,12,18,0.667,1,2,0.5,8,8,1,5,10,15,12,2,1,4,3,33,37.6,10
4,4,11/3/02,24-072,LAL,,POR,W (+3),1,50:28:00,11,19,0.579,2,6,0.333,9,11,0.818,5,9,14,12,1,0,4,5,33,32.9,7
5,5,11/5/02,24-074,LAL,@,CLE,L (-19),1,40:31:00,5,13,0.385,1,1,1,4,4,1,3,10,13,9,2,0,5,2,15,15.5,-15
6,6,11/7/02,24-076,LAL,@,BOS,L (-3),1,46:24:00,17,47,0.362,0,8,0,7,7,1,2,7,9,4,4,0,5,3,41,19,-3
7,7,11/8/02,24-077,LAL,@,WAS,L (-1),1,38:18:00,8,21,0.381,0,0,,11,11,1,1,5,6,4,0,2,2,5,27,17.9,-7
8,8,11/12/02,24-081,LAL,,ATL,L (-12),1,45:02:00,8,22,0.364,0,2,0,5,7,0.714,4,2,6,8,4,1,2,2,21,18.9,-8
9,9,11/15/02,24-084,LAL,,GSW,W (+7),1,45:39:00,18,40,0.45,1,3,0.333,8,10,0.8,0,4,4,4,3,1,1,3,45,28.9,6
10,10,11/17/02,24-086,LAL,,HOU,L (-4),1,44:55:00,18,37,0.486,1,2,0.5,9,11,0.818,0,6,6,4,0,1,3,3,46,27.6,5
11,11,11/19/02,24-088,LAL,@,DAL,L (-26),1,32:53:00,7,21,0.333,0,1,0,2,4,0.5,1,4,5,3,3,0,5,2,16,4.5,-21
12,12,11/20/02,24-089,LAL,@,SAS,L (-7),1,43:20:00,8,25,0.32,0,2,0,8,12,0.667,1,7,8,7,4,1,1,1,24,19.1,-2
13,13,11/22/02,24-091,LAL,,CHI,W (+13),1,38:57:00,7,14,0.5,1,3,0.333,6,11,0.545,2,8,10,7,5,1,6,1,21,20,16
14,14,11/24/02,24-093,LAL,,MIL,W (+12),1,44:08:00,6,15,0.4,0,3,0,3,3,1,2,9,11,11,1,0,2,3,15,16.5,10
15,15,11/26/02,24-095,LAL,@,MIA,L (-12),1,32:28:00,8,14,0.571,1,4,0.25,4,7,0.571,1,6,7,4,3,0,2,3,21,18.3,-3
16,16,11/27/02,24-096,LAL,@,ORL,L (-10),1,46:02:00,14,31,0.452,0,0,,10,13,0.769,2,8,10,4,1,2,3,5,38,24.7,-12
17,17,11/29/02,24-098,LAL,@,MEM,W (+6),1,48:08:00,18,35,0.514,2,4,0.5,7,9,0.778,1,5,6,5,2,0,5,0,45,29.6,8
18,18,12/1/02,24-100,LAL,,MIN,L (-3),1,40:47:00,9,15,0.6,1,3,0.333,3,5,0.6,2,3,5,11,0,1,5,1,22,19.6,-2
19,19,12/3/02,24-102,LAL,,MEM,W (+10),1,41:21:00,11,16,0.688,1,2,0.5,1,1,1,2,8,10,11,1,3,3,1,24,28.4,14
20,20,12/4/02,24-103,LAL,@,UTA,L (-8),1,41:00:00,5,14,0.357,0,2,0,7,7,1,1,4,5,5,3,0,5,1,17,12.2,-12
21,21,12/6/02,24-105,LAL,,DAL,W (+2),1,41:59:00,10,19,0.526,1,2,0.5,6,6,1,1,8,9,7,1,1,6,3,27,20.2,-2
22,22,12/8/02,24-107,LAL,,UTA,W (+9),1,38:41:00,9,18,0.5,0,1,0,7,9,0.778,0,4,4,14,5,0,5,4,25,24.6,6
23,23,12/10/02,24-109,LAL,@,GSW,L (-4),1,41:45:00,6,12,0.5,1,1,1,6,7,0.857,0,5,5,14,3,0,5,5,19,19.9,1
24,24,12/13/02,24-112,LAL,,NOH,L (-16),1,42:30:00,6,16,0.375,0,0,,4,6,0.667,0,2,2,5,1,0,2,1,16,9.1,-14
25,25,12/15/02,24-114,LAL,,ORL,W (+23),1,33:47:00,6,15,0.4,0,1,0,9,9,1,1,5,6,8,0,2,8,3,21,12.9,13
26,26,12/17/02,24-116,LAL,@,MIN,L (-16),1,38:45:00,6,14,0.429,0,0,,3,4,0.75,2,5,7,6,1,1,2,3,15,12.8,-19
27,27,12/19/02,24-118,LAL,@,NJN,L (-27),1,43:26:00,8,29,0.276,0,1,0,5,5,1,1,4,5,5,1,1,4,2,21,6.2,-15
28,28,12/20/02,24-119,LAL,@,PHI,L (-3),1,51:29:00,16,35,0.457,2,5,0.4,10,10,1,0,4,4,10,1,2,5,4,44,29.9,-4
29,29,12/22/02,24-121,LAL,@,TOR,W (+2),1,46:29:00,12,25,0.48,2,2,1,5,8,0.625,0,2,2,5,2,1,5,3,31,17.7,4
30,30,12/25/02,24-124,LAL,,SAC,L (-6),1,46:10:00,7,24,0.292,1,4,0.25,12,15,0.8,6,9,15,6,2,1,6,3,27,18.4,-3
31,31,12/28/02,24-127,LAL,@,DEN,W (+19),1,35:28:00,15,26,0.577,2,4,0.5,7,7,1,0,6,6,6,2,0,4,3,39,29.6,16
32,32,12/29/02,24-128,LAL,,TOR,W (+16),1,35:23:00,5,15,0.333,0,1,0,3,3,1,1,8,9,12,2,1,3,3,13,14.5,4
33,33,1/4/03,24-134,LAL,@,PHO,L (-14),1,42:06:00,15,32,0.469,0,8,0,7,9,0.778,0,7,7,7,4,2,2,3,37,29,-9
34,34,1/5/03,24-135,LAL,,PHO,W (+12),1,45:41:00,13,29,0.448,1,5,0.2,4,6,0.667,3,9,12,7,2,1,1,1,31,26.1,14
35,35,1/7/03,24-137,LAL,,SEA,W (+21),1,37:11:00,16,28,0.571,12,18,0.667,1,1,1,0,3,3,3,1,1,2,2,45,33.7,19
36,36,1/10/03,24-140,LAL,,CLE,W (+16),1,33:57:00,7,12,0.583,0,2,0,7,10,0.7,3,7,10,11,4,1,5,2,21,25,25
37,37,1/12/03,24-142,LAL,,MIA,W (+25),1,37:37:00,12,21,0.571,0,3,0,12,13,0.923,1,2,3,4,4,0,4,1,36,29.4,23
38,38,1/15/03,24-145,LAL,@,NOH,W (+8),1,46:04:00,12,28,0.429,2,3,0.667,10,10,1,2,9,11,4,2,2,2,1,36,29.1,9
39,39,1/17/03,24-147,LAL,@,HOU,L (-4),1,49:05:00,5,21,0.238,2,6,0.333,10,12,0.833,2,9,11,9,3,0,4,5,22,15.9,-8
40,40,1/20/03,24-150,LAL,,LAC,W (+4),1,45:27:00,8,18,0.444,1,3,0.333,9,9,1,0,8,8,11,3,2,4,2,26,26.3,5
41,41,1/22/03,24-152,LAL,,GSW,L (-4),1,39:16:00,9,17,0.529,3,5,0.6,2,3,0.667,0,3,3,7,2,1,5,5,23,15.8,-2
42,42,1/24/03,24-154,LAL,,NJN,L (-6),1,40:58:00,4,14,0.286,1,2,0.5,2,3,0.667,4,3,7,5,2,0,1,1,11,10.2,-9
43,43,1/29/03,24-159,LAL,@,PHO,W (+9),1,45:58:00,15,29,0.517,0,1,0,10,11,0.909,1,4,5,4,1,1,4,3,40,26.5,4
44,44,1/31/03,24-161,LAL,@,SAC,W (+11),1,42:52:00,14,29,0.483,3,6,0.5,7,8,0.875,1,4,5,5,1,1,4,3,38,24.8,7
45,45,2/1/03,24-162,LAL,,UTA,W (+12),1,43:53:00,12,25,0.48,2,3,0.667,16,18,0.889,0,3,3,4,3,1,2,1,42,33.5,12
46,46,2/4/03,24-165,LAL,@,IND,W (+3),1,42:03:00,12,31,0.387,1,5,0.2,10,10,1,3,4,7,2,2,2,7,2,35,18.4,3
47,47,2/6/03,24-167,LAL,@,NYK,W (+5),1,41:34:00,17,27,0.63,4,4,1,8,11,0.727,0,6,6,3,2,1,6,4,46,31.7,12
48,48,2/11/03,24-172,LAL,,DEN,W (+28),1,31:28:00,12,20,0.6,1,3,0.333,17,21,0.81,0,2,2,5,4,0,1,0,42,38.3,37
49,49,2/12/03,24-173,LAL,@,DEN,W (+11),1,31:20:00,15,28,0.536,3,8,0.375,18,20,0.9,0,3,3,2,2,0,0,1,51,40.5,37
50,50,2/14/03,24-175,LAL,,SAS,L (-8),1,44:53:00,19,41,0.463,2,3,0.667,4,6,0.667,2,4,6,4,4,2,7,2,44,25.1,-6
51,51,2/16/03,24-177,LAL,,NYK,L (-7),1,42:27:00,14,31,0.452,3,5,0.6,9,10,0.9,1,3,4,5,2,0,3,4,40,26,-7
52,52,2/18/03,24-179,LAL,,HOU,W (+7),1,53:54:00,19,38,0.5,3,9,0.333,11,11,1,0,8,8,7,0,3,5,4,52,35.8,13
53,53,2/19/03,24-180,LAL,@,UTA,W (+6),1,39:31:00,15,29,0.517,4,6,0.667,6,9,0.667,1,5,6,1,1,0,3,2,40,24.6,2
54,54,2/21/03,24-182,LAL,,POR,W (+8),1,41:57:00,15,32,0.469,3,7,0.429,7,9,0.778,0,7,7,1,5,2,4,2,40,27.2,7
55,55,2/23/03,24-184,LAL,,SEA,W (+5),1,41:57:00,13,34,0.382,1,6,0.167,14,16,0.875,1,4,5,3,3,0,3,2,41,24.8,6
56,56,2/25/03,24-186,LAL,,LAC,W (+11),1,40:42:00,11,26,0.423,1,5,0.2,9,10,0.9,4,2,6,3,5,1,5,4,32,22.4,12
57,57,2/27/03,24-188,LAL,,DET,W (+10),1,43:41:00,10,22,0.455,1,2,0.5,9,10,0.9,0,2,2,1,3,1,1,2,30,21.4,5
58,58,2/28/03,24-189,LAL,@,SEA,L (-17),1,44:05:00,10,27,0.37,4,11,0.364,10,14,0.714,0,4,4,9,1,0,1,3,34,23.8,-11
59,59,3/5/03,24-194,LAL,,IND,W (+2),1,42:31:00,9,26,0.346,0,3,0,2,3,0.667,0,10,10,5,3,1,3,2,20,11.4,-10
60,60,3/7/03,24-196,LAL,,MIN,W (+10),1,42:36:00,12,24,0.5,2,4,0.5,4,4,1,1,3,4,7,3,0,0,1,30,27.1,14
61,61,3/9/03,24-198,LAL,,PHI,W (+14),1,42:52:00,8,20,0.4,0,2,0,12,13,0.923,1,7,8,9,0,2,5,4,28,20.7,8
62,62,3/11/03,24-200,LAL,@,CHI,L (-17),1,43:22:00,13,26,0.5,1,4,0.25,9,13,0.692,0,5,5,5,2,0,3,3,36,24.2,-22
63,63,3/12/03,24-201,LAL,@,DET,L (-23),1,40:22:00,9,23,0.391,2,3,0.667,1,1,1,2,1,3,4,0,1,4,5,21,7.7,-16
64,64,3/14/03,24-203,LAL,@,MIN,W (+7),1,37:12:00,11,24,0.458,1,2,0.5,7,7,1,1,5,6,3,3,1,0,1,30,25.2,10
65,65,3/15/03,24-204,LAL,@,MIL,W (+4),1,43:23:00,6,14,0.429,0,2,0,8,9,0.889,1,8,9,4,2,2,5,4,20,14.9,14
66,66,3/17/03,24-206,LAL,@,LAC,W (+17),1,38:34:00,8,16,0.5,1,2,0.5,9,12,0.75,1,6,7,6,1,1,3,3,26,21,20
